"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2019","AQS","060811001","3","7.8","ug/m3 LC","33","Redwood City","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.482934","-122.20337"
"01/03/2019","AQS","060811001","3","13.2","ug/m3 LC","53","Redwood City","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.482934","-122.20337"
"01/04/2019","AQS","060811001","3","18.6","ug/m3 LC","65","Redwood City","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.482934","-122.20337"
"01/05/2019","AQS","060811001","3","3.8","ug/m3 LC","16","Redwood City","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.482934","-122.20337"
"01/06/2019","AQS","060811001","3","5","ug/m3 LC","21","Redwood City","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.482934","-122.20337"
"01/07/2019","AQS","060811001","3","7.9","ug/m3 LC","33","Redwood City","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.482934","-122.20337"
"01/08/2019","AQS","060811001","3","6","ug/m3 LC","25","Redwood City","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.482934","-122.20337"
"01/09/2019","AQS","060811001","3","5.9","ug/m3 LC","25","Redwood City","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.482934","-122.20337"
"01/10/2019","AQS","060811001","3","9","ug/m3 LC","38","Redwood City","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.482934","-122.20337"
"01/11/2019","AQS","060811001","3","10.4","ug/m3 LC","43","Redwood City","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.482934","-122.20337"
"01/12/2019","AQS","060811001","3","10","ug/m3 LC","42","Redwood City","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.482934","-122.20337"
"01/13/2019","AQS","060811001","3","9.9","ug/m3 LC","41","Redwood City","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.482934","-122.20337"
"01/14/2019","AQS","060811001","3","5.7","ug/m3 LC","24","Redwood City","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.482934","-122.20337"
"01/15/2019","AQS","060811001","3","2.1","ug/m3 LC","9","Redwood City","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.482934","-122.20337"
"01/16/2019","AQS","060811001","3","4.1","ug/m3 LC","17","Redwood City","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.482934","-122.20337"
"01/17/2019","AQS","060811001","3","10","ug/m3 LC","42","Redwood City","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.482934","-122.20337"
"01/18/2019","AQS","060811001","3","10.9","ug/m3 LC","45","Redwood City","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.482934","-122.20337"
"01/19/2019","AQS","060811001","3","14","ug/m3 LC","55","Redwood City","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.482934","-122.20337"
"01/20/2019","AQS","060811001","3","6.3","ug/m3 LC","26","Redwood City","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.482934","-122.20337"
"01/21/2019","AQS","060811001","3","7.9","ug/m3 LC","33","Redwood City","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.482934","-122.20337"
"01/22/2019","AQS","060811001","3","7.7","ug/m3 LC","32","Redwood City","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.482934","-122.20337"
"01/23/2019","AQS","060811001","3","9.9","ug/m3 LC","41","Redwood City","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.482934","-122.20337"
"01/24/2019","AQS","060811001","3","10","ug/m3 LC","42","Redwood City","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.482934","-122.20337"
"01/25/2019","AQS","060811001","3","13","ug/m3 LC","53","Redwood City","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.482934","-122.20337"
"01/26/2019","AQS","060811001","3","11.7","ug/m3 LC","49","Redwood City","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.482934","-122.20337"
"01/27/2019","AQS","060811001","3","16.9","ug/m3 LC","61","Redwood City","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.482934","-122.20337"
"01/28/2019","AQS","060811001","3","15","ug/m3 LC","57","Redwood City","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.482934","-122.20337"
"01/29/2019","AQS","060811001","3","12.2","ug/m3 LC","51","Redwood City","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.482934","-122.20337"
"01/30/2019","AQS","060811001","3","13.3","ug/m3 LC","54","Redwood City","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.482934","-122.20337"
"01/31/2019","AQS","060811001","3","8.5","ug/m3 LC","35","Redwood City","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.482934","-122.20337"
"02/01/2019","AQS","060811001","3","1.1","ug/m3 LC","5","Redwood City","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.482934","-122.20337"
"02/02/2019","AQS","060811001","3","1.9","ug/m3 LC","8","Redwood City","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.482934","-122.20337"
"02/03/2019","AQS","060811001","3","1.8","ug/m3 LC","8","Redwood City","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.482934","-122.20337"
"02/04/2019","AQS","060811001","3","3.6","ug/m3 LC","15","Redwood City","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.482934","-122.20337"
"02/05/2019","AQS","060811001","3","2.3","ug/m3 LC","10","Redwood City","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.482934","-122.20337"
"02/06/2019","AQS","060811001","3","5.2","ug/m3 LC","22","Redwood City","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.482934","-122.20337"
"02/07/2019","AQS","060811001","3","7.7","ug/m3 LC","32","Redwood City","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.482934","-122.20337"
"02/08/2019","AQS","060811001","3","5.5","ug/m3 LC","23","Redwood City","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.482934","-122.20337"
"02/09/2019","AQS","060811001","3","3.5","ug/m3 LC","15","Redwood City","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.482934","-122.20337"
"02/10/2019","AQS","060811001","3","3.5","ug/m3 LC","15","Redwood City","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.482934","-122.20337"
"02/11/2019","AQS","060811001","3","7.5","ug/m3 LC","31","Redwood City","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.482934","-122.20337"
"02/12/2019","AQS","060811001","3","8.3","ug/m3 LC","35","Redwood City","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.482934","-122.20337"
"02/13/2019","AQS","060811001","3","0.3","ug/m3 LC","1","Redwood City","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.482934","-122.20337"
"02/14/2019","AQS","060811001","3","2.5","ug/m3 LC","10","Redwood City","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.482934","-122.20337"
"02/15/2019","AQS","060811001","3","4.7","ug/m3 LC","20","Redwood City","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.482934","-122.20337"
"02/16/2019","AQS","060811001","3","3.3","ug/m3 LC","14","Redwood City","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.482934","-122.20337"
"02/17/2019","AQS","060811001","3","5.6","ug/m3 LC","23","Redwood City","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.482934","-122.20337"
"02/18/2019","AQS","060811001","3","4.3","ug/m3 LC","18","Redwood City","1","100.0000","88101","PM2.5 - Local Conditions","41860","San Francisco-Oakland-Hayward, CA","06","California","081","San Mateo","37.482934","-122.20337"
